"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年12月31日","1,183.00","1,183.00","1,188.00","1,176.51","2.26M","-0.24%"
"2019年12月30日","1,185.80","1,170.20","1,195.50","1,170.20","4.08M","1.96%"
"2019年12月27日","1,163.00","1,150.00","1,172.00","1,150.00","4.71M","2.46%"
"2019年12月26日","1,135.10","1,132.00","1,141.98","1,119.99","2.29M","0.12%"
"2019年12月25日","1,133.70","1,143.00","1,143.00","1,130.01","2.43M","-1.25%"
"2019年12月24日","1,148.00","1,153.00","1,155.00","1,145.00","1.18M","-0.11%"
"2019年12月23日","1,149.30","1,139.00","1,162.50","1,136.00","2.59M","0.26%"
"2019年12月20日","1,146.30","1,162.18","1,162.18","1,141.50","2.36M","-0.96%"
"2019年12月19日","1,157.40","1,163.00","1,163.00","1,152.00","1.96M","-0.91%"
"2019年12月18日","1,168.00","1,174.00","1,175.20","1,164.00","1.96M","-0.17%"
"2019年12月17日","1,169.98","1,149.70","1,173.60","1,143.03","4.26M","1.92%"
"2019年12月16日","1,147.92","1,163.00","1,163.00","1,137.94","3.09M","-1.30%"
"2019年12月13日","1,163.00","1,146.00","1,165.00","1,146.00","3.00M","2.29%"
"2019年12月12日","1,137.00","1,156.00","1,159.94","1,130.08","2.94M","-1.90%"
"2019年12月11日","1,158.98","1,168.00","1,170.75","1,155.55","1.46M","-0.47%"
"2019年12月10日","1,164.40","1,159.60","1,165.00","1,151.00","1.51M","0.49%"
"2019年12月9日","1,158.70","1,175.00","1,176.00","1,156.10","2.18M","-0.97%"
"2019年12月6日","1,170.00","1,135.97","1,170.00","1,130.10","3.95M","3.56%"
"2019年12月5日","1,129.80","1,125.00","1,132.01","1,118.00","2.13M","0.67%"
"2019年12月4日","1,122.33","1,140.00","1,144.66","1,118.00","3.53M","0.39%"
"2019年12月3日","1,118.00","1,133.00","1,133.00","1,117.74","2.73M","-1.32%"
"2019年12月2日","1,133.00","1,118.20","1,140.02","1,118.20","3.08M","0.35%"
